preset,preset_description,strategy,config_label,overlay_enabled,target_vol,vol_lookback,min_leverage,max_leverage,vol_update,period,period_start,period_end,observations,cagr,annualized_vol,sharpe,max_drawdown,calmar,total_return,average_leverage,min_leverage_observed,max_leverage_observed,trade_count,trades_per_year
dual_mom_core,"Dual momentum example (manual, alertable). Adjust flags to your strategy's CLI if needed.",dual_mom,tv_0.12_lb_21,True,0.12,21.0,0.0,1.0,rebalance,full,2010-01-04,2026-03-05,4066,0.08082611785324678,0.1261833713671398,0.6793186449728502,-0.18758507834210736,0.43087711755964164,2.504674187979263,0.7791530626531977,0.13415490592908563,1.0,42,2.6030496802754546
dual_mom_core,"Dual momentum example (manual, alertable). Adjust flags to your strategy's CLI if needed.",dual_mom,tv_0.12_lb_21,True,0.12,21.0,0.0,1.0,rebalance,recent_5y,2021-03-05,2026-03-05,1256,0.05905893621321656,0.12204441826711321,0.5312630601335401,-0.1875850783421088,0.31483813496885754,0.3310828498948821,0.7450209234899444,0.22752235327093254,1.0,13,2.60828025477707
dual_mom_core,"Dual momentum example (manual, alertable). Adjust flags to your strategy's CLI if needed.",dual_mom,tv_0.12_lb_63,True,0.12,63.0,0.0,1.0,rebalance,full,2010-01-04,2026-03-05,4066,0.0728504545626778,0.12800947577835992,0.6135744177451133,-0.2157946028786919,0.3375916431220034,2.109906983670595,0.7562691700159456,0.20068787178359535,1.0,42,2.6030496802754546
dual_mom_core,"Dual momentum example (manual, alertable). Adjust flags to your strategy's CLI if needed.",dual_mom,tv_0.12_lb_63,True,0.12,63.0,0.0,1.0,rebalance,recent_5y,2021-03-05,2026-03-05,1256,0.05516874397638927,0.12203510854040549,0.50108889650818,-0.19228418875844844,0.2869125346842399,0.3068911032744588,0.714509036178127,0.35177410123103997,1.0,13,2.60828025477707
dual_mom_core,"Dual momentum example (manual, alertable). Adjust flags to your strategy's CLI if needed.",dual_mom,tv_0.12_lb_126,True,0.12,126.0,0.0,1.0,rebalance,full,2010-01-04,2026-03-05,4066,0.06958507293014304,0.12926264661605277,0.5852885386492562,-0.22004016205754262,0.3162380552689553,1.9606501016719586,0.7387568573854087,0.2673641491073326,1.0,42,2.6030496802754546
dual_mom_core,"Dual momentum example (manual, alertable). Adjust flags to your strategy's CLI if needed.",dual_mom,tv_0.12_lb_126,True,0.12,126.0,0.0,1.0,rebalance,recent_5y,2021-03-05,2026-03-05,1256,0.0481863379400751,0.12061238061535302,0.4504912372731443,-0.19435629658911613,0.24792784584666505,0.2643521560986546,0.6937626799033876,0.43982223793961517,1.0,13,2.60828025477707
vm_core,"Value+momentum core (manual, alertable).",valmom_v1,baseline,False,,,,,baseline,full,2015-01-02,2025-12-31,2766,0.06440461859072921,0.15760082737978223,0.4753665089798396,-0.2927024631323836,0.22003442643255197,0.983941467540256,1.0,1.0,1.0,75,6.83297180043384
vm_core,"Value+momentum core (manual, alertable).",valmom_v1,baseline,False,,,,,baseline,recent_5y,2020-12-31,2025-12-31,1256,0.09291573555826882,0.14276058638913783,0.6939203164580622,-0.20636114536281025,0.45025789808886085,0.5571157854734206,1.0,1.0,1.0,33,6.6210191082802545
vm_core,"Value+momentum core (manual, alertable).",valmom_v1,tv_0.08_lb_21,True,0.08,21.0,0.0,1.0,rebalance,full,2015-01-02,2025-12-31,2766,0.03982719311689409,0.09684941081082514,0.4518735805560515,-0.17332514239880903,0.22978312647367977,0.5352144187023391,0.7059208337610399,0.08721098856936445,1.0,75,6.83297180043384
vm_core,"Value+momentum core (manual, alertable).",valmom_v1,tv_0.08_lb_21,True,0.08,21.0,0.0,1.0,rebalance,recent_5y,2020-12-31,2025-12-31,1256,0.0363839971027502,0.09332629143876277,0.4297267357920676,-0.17332514239880792,0.2099175953309382,0.19497035571896704,0.6579408376035614,0.2735851836875694,1.0,33,6.6210191082802545
